Step,Ours,Naive,Planar
0,0.12999997615814200,0.12999997615814200,0.15796034209411500
1,0.12500002066294700,0.12500002066294700,0.15330632676881300
2,0.12124214673059600,0.12124214673059600,0.14972500864672500
3,0.11762166297647900,0.11762122595452800,0.14608166220075800
4,0.1146470363947480,0.11464646044713400,0.14309068231456500
5,0.111171514208014,0.11117062072682800,0.13970507547351300
6,0.10817537317538700,0.10817404310554300,0.13679790254890800
7,0.1055570276445190,0.10555550035053100,0.13425419682538200
8,0.1021948933512420,0.10219400280814600,0.13110598914756100
9,0.09920026257141360,0.09920040676182600,0.1283057591043830
10,0.09640461247838290,0.09640360821592210,0.12566975886780300
11,0.0936566128405709,0.0936568483412356,0.12308916607763500
12,0.09118545901140670,0.09118769242614020,0.12077300667478900
13,0.08895771127681170,0.08896216192465860,0.11869756043674500
14,0.08598578201707890,0.085987842855421,0.11603968378022000
15,0.08244883961854000,0.08244519298947670,0.11292766486052000
16,0.07923960437548220,0.0792329726296629,0.11012564946733900
17,0.07621401610338850,0.07620930784549340,0.10734292824247200
18,0.07281738038251670,0.0728088594575371,0.10428232559623300
19,0.06911315669840100,0.06909949443444180,0.10102111102299300
20,0.06563071207466360,0.06562342371060860,0.09786261236763090
21,0.062372798202796600,0.0623921668742454,0.09495235312502000
22,0.05937356591154990,0.059454637438205300,0.09232478366617300
23,0.05602265595381660,0.056165644833856000,0.08954066054753000
24,0.052967302445549000,0.05318491049242550,0.08706531941725120
25,0.050183822178042400,0.0505066742523994,0.08486655841414200
26,0.047558032324463300,0.04801819513896160,0.0827243129022349
27,0.04460722360816140,0.04529876301459110,0.0804464493649078
28,0.04109771713462740,0.04190931973186560,0.07786425034468830
29,0.03789758388007090,0.03891317201525150,0.07562692705875100
30,0.034979577312601200,0.03629623316125900,0.07369366734494840
31,0.032320762180730700,0.03407164654466700,0.07202302298098770
32,0.029894967418233300,0.032230563497145600,0.07057454415418150
33,0.02766212298626660,0.03100039778858240,0.06926154667226410
34,0.025293981273264500,0.029787477397688200,0.06806361424815520
35,0.023137200061264100,0.02878216760029790,0.06697074758868920
36,0.020163927788818400,0.02641737335780210,0.06522932374069470
37,0.017432772453310100,0.024320063750712000,0.06355827311426540
38,0.014943613847586900,0.022490098944466000,0.06199083304408490
39,0.012678937324649100,0.020933054362549200,0.060553767247449000
40,0.010313814451962600,0.01913329637333240,0.0587181058473994
41,0.008168764696210160,0.01755647222181210,0.05705146347403780
42,0.005924172876211400,0.01600016178066970,0.05542604233187360
43,0.003914966772981830,0.014656467071189600,0.053896971261585900
44,0.0031413844536479500,0.01249303199004270,0.051522619565854800
45,0.001781287979363860,0.00951183964671211,0.04908056698187870
46,0.0016661901756933300,0.00687688306898882,0.04680503255859640
47,0.0028699870711183100,0.004723432527983230,0.044728545239010100
48,0.004474510975878810,0.0032199719843194200,0.042806291488708900
49,0.006018504598390430,0.002804486338955720,0.041045565009901600
50,0.008112852934333930,0.0038248606392586600,0.039471573280408800
51,0.010033843233378300,0.005400494190980560,0.03806724895882630
52,0.01171490235366940,0.00703071223753235,0.036591620843090800
53,0.013231121228203800,0.008394858520440540,0.03492680333496810
54,0.015242320999717400,0.009852155917377840,0.03329844430432680
55,0.017097138100737600,0.010867336370480700,0.03176251825697310
56,0.01840095471722730,0.0115854265770356,0.03030276174110810
57,0.01882732349180760,0.012090472829784800,0.028891856684252000
58,0.019249122742124700,0.012330329296390100,0.027583298177053000
59,0.019633804001728400,0.012309787518365800,0.026014052990264200
60,0.019291879140937900,0.012070938559088200,0.024564551587836400
61,0.01827901966320650,0.011721759090523600,0.023239833207652000
62,0.015778880827161000,0.009472735583395900,0.021502647248466500
63,0.014093093726604200,0.00797206901936849,0.01995807510376670
64,0.01273668023232550,0.006575681938625730,0.018630815390074800
65,0.01199841545026430,0.005795859631031000,0.017660789411862900
66,0.011455491591573800,0.00503760053981476,0.01694177444655890
67,0.011602437091507400,0.005043143089309630,0.016891584835841400
68,0.010329097308745300,0.005230166558181730,0.016616778387665100
69,0.009637039593380260,0.005692581193415400,0.016090605991128100
70,0.009017660708758270,0.006011237571725280,0.015532523485862900
71,0.008814950130984880,0.006953464024841910,0.01574782282351270
72,0.00873819233860167,0.007811297649929970,0.016059986901755900
73,0.008605016153428190,0.008709767006867120,0.016787092759966000
74,0.008451984256118510,0.008784558945378390,0.017166526013533300
75,0.006514626472085390,0.0077775387213349400,0.017775593847983800
76,0.0050575195253227600,0.0071005872853702000,0.018632402488902400
77,0.0030757321590764400,0.005631950785844090,0.0177908385816738
78,0.0019132465922969300,0.004364078519420340,0.01640847654367040
79,0.002055140134066520,0.0034020660859508000,0.015249883995263500
80,0.0030435688057903100,0.00321674514576708,0.015289769159824200
81,0.00405871540748554,0.003302449791332380,0.01577004504968820
82,0.004994281956094780,0.0034076361956255000,0.015977022886557300
83,0.0058454325386895600,0.003686215847374010,0.016283394798161200
84,0.0066168652179116,0.0039394451905442800,0.016214695014530900
85,0.007165177228414350,0.0043521523864303,0.016281820805266100
86,0.0076678201465193,0.004721123238154690,0.016117118636658100
87,0.008268090937359280,0.005419686033497290,0.016524117102627100
88,0.00862988155745745,0.006052079609233110,0.016587954393025500
89,0.008738919677044040,0.006680528736130300,0.01642741622022700
90,0.008848062267212290,0.0072736311723879200,0.01626790677070270
91,0.008644926603364990,0.007663903599701870,0.016500471795425600
92,0.0084652522520073,0.008040680024498010,0.0167703160601074
93,0.008281595410058130,0.008321661659470160,0.017004581424055700
94,0.007366406504255240,0.007377040024026710,0.017110060886559700
95,0.006613931663586470,0.006652797266224930,0.017058332891127700
96,0.0060751310278494,0.006607104485925360,0.01754360497939830
97,0.005605480137296300,0.006969237631836410,0.018239906371399100
98,0.0052888804037658300,0.007381875722381670,0.0190122293894058
99,0.005075455736873630,0.007685162394121970,0.01962972116904670
100,0.005047476888480820,0.007998850738909570,0.020200996373767700
101,0.005270937895895790,0.008375366069993530,0.020126005385693400
102,0.005576518446162620,0.008694466982838550,0.0194918817460644
103,0.005900806657681930,0.008894732146089080,0.018108553329944200
104,0.006195609152770180,0.008932811916446120,0.016907826339172100
105,0.006483807344367450,0.00872037531217249,0.015649524741842900
