"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"0","50","50","50","50","50","50","50","50","50","50","50","50"
"1","50.19921112060547","50.19921112060547","50.19921112060547","50.19994354248047","50.19994354248047","50.19994354248047","50.199947357177734","50.199947357177734","50.199947357177734","50.1996955871582","50.1996955871582","50.1996955871582"
"2","50.38650131225586","50.38650131225586","50.38650131225586","50.39967346191406","50.39967346191406","50.39967346191406","50.39997100830078","50.39997100830078","50.39997100830078","50.3995475769043","50.3995475769043","50.3995475769043"
"3","50.56560516357422","50.56560516357422","50.56560516357422","50.598270416259766","50.598270416259766","50.598270416259766","50.60039520263672","50.60039520263672","50.60039520263672","50.59926223754883","50.59926223754883","50.59926223754883"
"4","50.73816680908203","50.73816680908203","50.73816680908203","50.797088623046875","50.797088623046875","50.797088623046875","50.80046844482422","50.80046844482422","50.80046844482422","50.7984733581543","50.7984733581543","50.7984733581543"
"5","50.915565490722656","50.915565490722656","50.915565490722656","50.99639129638672","50.99639129638672","50.99639129638672","51.00041961669922","51.00041961669922","51.00041961669922","50.99812316894531","50.99812316894531","50.99812316894531"
"6","51.091373443603516","51.091373443603516","51.091373443603516","51.19617462158203","51.19617462158203","51.19617462158203","51.20115661621094","51.20115661621094","51.20115661621094","51.198368072509766","51.198368072509766","51.198368072509766"
"7","51.2646484375","51.2646484375","51.2646484375","51.39627456665039","51.39627456665039","51.39627456665039","51.40100860595703","51.40100860595703","51.40100860595703","51.39792251586914","51.39792251586914","51.39792251586914"
"8","51.43280792236328","51.43280792236328","51.43280792236328","51.59700393676758","51.59700393676758","51.59700393676758","51.601036071777344","51.601036071777344","51.601036071777344","51.59757995605469","51.59757995605469","51.59757995605469"
"9","51.60497283935547","51.60497283935547","51.60497283935547","51.797855377197266","51.797855377197266","51.797855377197266","51.801143646240234","51.801143646240234","51.801143646240234","51.79747772216797","51.79747772216797","51.79747772216797"
"10","51.772865295410156","51.772865295410156","51.772865295410156","51.99885940551758","51.99885940551758","51.99885940551758","52.00054931640625","52.00054931640625","52.00054931640625","51.99747848510742","51.99747848510742","51.99747848510742"
"11","51.945343017578125","51.945343017578125","51.945343017578125","52.19951629638672","52.19951629638672","52.19951629638672","52.19902801513672","52.19902801513672","52.19902801513672","52.196739196777344","52.196739196777344","52.196739196777344"
"12","52.105712890625","52.105712890625","52.105712890625","52.4000129699707","52.4000129699707","52.4000129699707","52.39812469482422","52.39812469482422","52.39812469482422","52.39585494995117","52.39585494995117","52.39585494995117"
"13","52.24901580810547","52.24901580810547","52.24901580810547","52.59904098510742","52.59904098510742","52.59904098510742","52.596351623535156","52.596351623535156","52.596351623535156","52.59295654296875","52.59295654296875","52.59295654296875"
"14","52.388973236083984","52.388973236083984","52.388973236083984","52.798194885253906","52.798194885253906","52.798194885253906","52.795166015625","52.795166015625","52.795166015625","52.79066848754883","52.79066848754883","52.79066848754883"
"15","52.5274772644043","52.5274772644043","52.5274772644043","52.997615814208984","52.997615814208984","52.997615814208984","52.994483947753906","52.994483947753906","52.994483947753906","52.98907470703125","52.98907470703125","52.98907470703125"
"16","52.6611328125","52.6611328125","52.6611328125","53.19749069213867","53.19749069213867","53.19749069213867","53.19357681274414","53.19357681274414","53.19357681274414","53.18811798095703","53.18811798095703","53.18811798095703"
"17","52.773807525634766","52.773807525634766","52.773807525634766","53.397613525390625","53.397613525390625","53.397613525390625","53.39353561401367","53.39353561401367","53.39353561401367","53.38783264160156","53.38783264160156","53.38783264160156"
"18","52.874088287353516","52.874088287353516","52.874088287353516","53.597496032714844","53.597496032714844","53.597496032714844","53.592899322509766","53.592899322509766","53.592899322509766","53.58708953857422","53.58708953857422","53.58708953857422"
"19","52.96528244018555","52.96528244018555","52.96528244018555","53.79580307006836","53.79580307006836","53.79580307006836","53.792171478271484","53.792171478271484","53.792171478271484","53.78680419921875","53.78680419921875","53.78680419921875"
"20","53.05685043334961","53.05685043334961","53.05685043334961","53.9942626953125","53.9942626953125","53.9942626953125","53.99097442626953","53.99097442626953","53.99097442626953","53.986122131347656","53.986122131347656","53.986122131347656"
"21","53.15827560424805","53.15827560424805","53.15827560424805","54.193904876708984","54.193904876708984","54.193904876708984","54.19055938720703","54.19055938720703","54.19055938720703","54.18548583984375","54.18548583984375","54.18548583984375"
"22","53.261688232421875","53.261688232421875","53.261688232421875","54.39371871948242","54.39371871948242","54.39371871948242","54.38964080810547","54.38964080810547","54.38964080810547","54.38429260253906","54.38429260253906","54.38429260253906"
"23","53.35527038574219","53.35527038574219","53.35527038574219","54.59272384643555","54.59272384643555","54.59272384643555","54.5892333984375","54.5892333984375","54.5892333984375","54.58407211303711","54.58407211303711","54.58407211303711"
